"code","title","country"
"112","Animal Production","all"
"1121","Cattle Ranching and Farming","all"
"11211","Beef Cattle Ranching and Farming, including Feedlots","all"
"112110","Beef Cattle Ranching and Farming, including Feedlots","CAN"
"112111","Beef Cattle Ranching and Farming","US"
"112112","Cattle Feedlots","US"
"11212","Dairy Cattle and Milk Production","all"
"112120","Dairy Cattle and Milk Production","all"
"11213","Dual-Purpose Cattle Ranching and Farming","US"
"112130","Dual-Purpose Cattle Ranching and Farming","US"
"1122","Hog and Pig Farming","all"
"11221","Hog and Pig Farming","all"
"112210","Hog and Pig Farming","all"
"1123","Poultry and Egg Production","all"
"11231","Chicken Egg Production","all"
"112310","Chicken Egg Production","all"
"11232","Broiler and Other Meat-Type Chicken Production","all"
"112320","Broiler and Other Meat-Type Chicken Production","all"
"11233","Turkey Production","all"
"112330","Turkey Production","all"
"11234","Poultry Hatcheries","all"
"112340","Poultry Hatcheries","all"
"11239","Other Poultry Production","all"
"112390","Other Poultry Production","US"
"112391","Combination Poultry and Egg Production","CAN"
"112399","All Other Poultry Production","CAN"
"1124","Sheep and Goat Farming","all"
"11241","Sheep Farming","all"
"112410","Sheep Farming","all"
"11242","Goat Farming","all"
"112420","Goat Farming","all"
"1125","Animal Aquaculture","all"
"11251","Animal Aquaculture","all"
"112510","Animal Aquaculture","CAN"
"112511","Finfish Farming and Fish Hatcheries","US"
"112512","Shellfish Farming","US"
"112519","Other Animal Aquaculture","US"
"1129","Other Animal Production","all"
"11291","Apiculture","all"
"112910","Apiculture","all"
"11292","Horse and Other Equine Production","all"
"112920","Horse and Other Equine Production","all"
"11293","Fur-Bearing Animal and Rabbit Production","all"
"112930","Fur-Bearing Animal and Rabbit Production","all"
"11299","All Other Animal Production","all"
"112990","All Other Animal Production","US"
"112991","Animal Combination Farming","CAN"
"112999","All Other Miscellaneous Animal Production","CAN"
"113","Forestry and Logging","all"
"1131","Timber Tract Operations","all"
"11311","Timber Tract Operations","all"
"113110","Timber Tract Operations","all"
"1132","Forest Nurseries and Gathering of Forest Products","all"
"11321","Forest Nurseries and Gathering of Forest Products","all"
"113210","Forest Nurseries and Gathering of Forest Products","all"
"1133","Logging","all"
"11331","Logging","all"
"113310","Logging","US"
"113311","Logging (except Contract)","CAN"
"113312","Contract Logging","CAN"
"114","Fishing, Hunting and Trapping","all"
"1141","Fishing","all"
"11411","Fishing","all"
"114111","Finfish Fishing","US"
"114112","Shellfish Fishing","US"
"114113","Salt Water Fishing","CAN"
"114114","Inland Fishing","CAN"
"114119","Other Marine Fishing","US"
"1142","Hunting and Trapping","all"
"11421","Hunting and Trapping","all"
"114210","Hunting and Trapping","all"
"115","Support Activities for Agriculture and Forestry","all"
"1151","Support Activities for Crop Production","all"
"11511","Support Activities for Crop Production","all"
"115110","Support Activities for Crop Production","CAN"
"115111","Cotton Ginning","US"
"115112","Soil Preparation, Planting, and Cultivating","US"
"115113","Crop Harvesting, Primarily by Machine","US"
"115114","Postharvest Crop Activities (except Cotton Ginning)","US"
"115115","Farm Labor Contractors and Crew Leaders","US"
"115116","Farm Management Services","US"
"1152","Support Activities for Animal Production","all"
"11521","Support Activities for Animal Production","all"
"115210","Support Activities for Animal Production","all"
"1153","Support Activities for Forestry","all"
"11531","Support Activities for Forestry","all"
"115310","Support Activities for Forestry","all"
"21","Mining and Oil and Gas Extraction","all"
"211","Oil and Gas Extraction","all"
"2111","Oil and Gas Extraction","all"
"21111","Oil and Gas Extraction","all"
"211111","Crude Petroleum and Natural Gas Extraction","US"
"211112","Natural Gas Liquid Extraction","US"
"211113","Conventional Oil and Gas Extraction","CAN"
"211114","Non-Conventional Oil Extraction","CAN"
"212","Mining (except Oil and Gas)","all"
"2121","Coal Mining","all"
"21211","Coal Mining","all"
"212111","Bituminous Coal and Lignite Surface Mining","US"
"212112","Bituminous Coal Underground Mining","US"
"212113","Anthracite Mining","US"
"212114","Bituminous Coal Mining","CAN"
"212115","Subbituminous Coal Mining","CAN"
"212116","Lignite Coal Mining","CAN"
"2122","Metal Ore Mining","all"
"21221","Iron Ore Mining","all"
"212210","Iron Ore Mining","all"
"21222","Gold and Silver Ore Mining","all"
"212220","Gold and Silver Ore Mining","CAN"
"212221","Gold Ore Mining","US"
"212222","Silver Ore Mining","US"
"21223","Copper, Nickel, Lead and Zinc Ore Mining","all"
"212231","Lead-Zinc Ore Mining","all"
"212232","Nickel-Copper Ore Mining","CAN"
"212233","Copper-Zinc Ore Mining","CAN"
"212234","Copper Ore and Nickel Ore Mining","US"
"21229","Other Metal Ore Mining","all"
"212291","Uranium Ore Mining","all"
"212299","All Other Metal Ore Mining","all"
"2123","Non-Metallic Mineral Mining and Quarrying","all"
"21231","Stone Mining and Quarrying","all"
"212311","Dimension Stone Mining and Quarrying","US"
"212312","Crushed and Broken Limestone Mining and Quarrying","US"
"212313","Crushed and Broken Granite Mining and Quarrying","US"
"212314","Granite Mining and Quarrying","CAN"
"212315","Limestone Mining and Quarrying","CAN"
"212316","Marble Mining and Quarrying","CAN"
"212317","Sandstone Mining and Quarrying","CAN"
"212319","Other Crushed and Broken Stone Mining and Quarrying","US"
"21232","Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying","all"
"212321","Construction Sand and Gravel Mining","US"
"212322","Industrial Sand Mining","US"
"212323","Sand and Gravel Mining and Quarrying","CAN"
"212324","Kaolin and Ball Clay Mining","US"
"212325","Clay and Ceramic and Refractory Minerals Mining","US"
"212326","Shale, Clay and Refractory Mineral Mining and Quarrying","CAN"
"21239","Other Non-Metallic Mineral Mining and Quarrying","all"
"212391","Potash, Soda, and Borate Mineral Mining","US"
"212392","Diamond Mining","CAN"
"212392","Phosphate Rock Mining","US"
"212393","Salt Mining","CAN"
"212393","Other Chemical and Fertilizer Mineral Mining","US"
"212394","Asbestos Mining","CAN"
"212395","Gypsum Mining","CAN"
"212396","Potash Mining","CAN"
"212397","Peat Extraction","CAN"
"212398","All Other Non-Metallic Mineral Mining and Quarrying","CAN"
"212399","All Other Nonmetallic Mineral Mining","US"
"213","Support Activities for Mining and Oil and Gas Extraction","all"
"2131","Support Activities for Mining and Oil and Gas Extraction","all"
"21311","Support Activities for Mining and Oil and Gas Extraction","all"
"213111","Oil and Gas Contract Drilling","all"
"213112","Support Activities for Oil and Gas Operations","US"
"213113","Support Activities for Coal Mining","US"
"213114","Support Activities for Metal Mining","US"
"213115","Support Activities for Nonmetallic Minerals (except Fuels)","US"
"213117","Contract Drilling (except Oil and Gas)","CAN"
"213118","Services to Oil and Gas Extraction","CAN"
"213119","Other Support Activities for Mining","CAN"
"22","Utilities","all"
"221","Utilities","all"
"2211","Electric Power Generation, Transmission and Distribution","all"
"22111","Electric Power Generation","all"
"221111","Hydro-Electric Power Generation","all"
"221112","Fossil-Fuel Electric Power Generation","all"
"221113","Nuclear Electric Power Generation","all"
"221119","Other Electric Power Generation","all"
"22112","Electric Power Transmission, Control and Distribution","all"
"221121","Electric Bulk Power Transmission and Control","all"
"221122","Electric Power Distribution","all"
"2212","Natural Gas Distribution","all"
"22121","Natural Gas Distribution","all"
"221210","Natural Gas Distribution","all"
"2213","Water, Sewage and Other Systems","all"
"22131","Water Supply and Irrigation Systems","all"
"221310","Water Supply and Irrigation Systems","all"
"22132","Sewage Treatment Facilities","all"
"221320","Sewage Treatment Facilities","all"
"22133","Steam and Air-Conditioning Supply","all"
"221330","Steam and Air-Conditioning Supply","all"
"23","Construction","all"
"236","Construction of Buildings","all"
"2361","Residential Building Construction","all"
"23611","Residential Building Construction","all"
"236110","Residential Building Construction","CAN"
"236115","New Single-Family Housing Construction (except Operative Builders)","US"
"236116","New Multifamily Housing Construction (except Operative Builders)","US"
"236117","New Housing Operative Builders","US"
"236118","Residential Remodelers","US"
"2362","Non-residential Building Construction","all"
"23621","Industrial Building and Structure Construction","all"
"236210","Industrial Building and Structure Construction","all"
"23622","Commercial and Institutional Building Construction","all"
"236220","Commercial and Institutional Building Construction","all"
"237","Heavy and Civil Engineering Construction","all"
"2371","Utility System Construction","all"
"23711","Water and Sewer Line and Related Structures Construction","all"
"237110","Water and Sewer Line and Related Structures Construction","all"
"23712","Oil and Gas Pipeline and Related Structures Construction","all"
"237120","Oil and Gas Pipeline and Related Structures Construction","all"
"23713","Power and Communication Line and Related Structures Construction","all"
"237130","Power and Communication Line and Related Structures Construction","all"
"2372","Land Subdivision","all"
"23721","Land Subdivision","all"
"237210","Land Subdivision","all"
"2373","Highway, Street and Bridge Construction","all"
"23731","Highway, Street and Bridge Construction","all"
"237310","Highway, Street and Bridge Construction","all"
"2379","Other Heavy and Civil Engineering Construction","all"
"23799","Other Heavy and Civil Engineering Construction","all"
"237990","Other Heavy and Civil Engineering Construction","all"
"238","Specialty Trade Contractors","all"
"2381","Foundation, Structure, and Building Exterior Contractors","all"
"23811","Poured Concrete Foundation and Structure Contractors","all"
"238110","Poured Concrete Foundation and Structure Contractors","all"
"23812","Structural Steel and Precast Concrete Contractors","all"
"238120","Structural Steel and Precast Concrete Contractors","all"
"23813","Framing Contractors","all"
"238130","Framing Contractors","all"
"23814","Masonry Contractors","all"
"238140","Masonry Contractors","all"
"23815","Glass and Glazing Contractors","all"
"238150","Glass and Glazing Contractors","all"
"23816","Roofing Contractors","all"
"238160","Roofing Contractors","all"
"23817","Siding Contractors","all"
"238170","Siding Contractors","all"
"23819","Other Foundation, Structure and Building Exterior Contractors","all"
"238190","Other Foundation, Structure and Building Exterior Contractors","all"
"2382","Building Equipment Contractors","all"
"23821","Electrical Contractors","all"
"238210","Electrical Contractors","all"
"23822","Plumbing, Heating and Air-Conditioning Contractors","all"
"238220","Plumbing, Heating and Air-Conditioning Contractors","all"
"23829","Other Building Equipment Contractors","all"
"238290","Other Building Equipment Contractors","US"
"238291","Elevator and Escalator Installation Contractors","CAN"
"238299","All Other Building Equipment Contractors","CAN"
"2383","Building Finishing Contractors","all"
"23831","Drywall and Insulation Contractors","all"
"238310","Drywall and Insulation Contractors","all"
"23832","Painting and Wall Covering Contractors","all"
"238320","Painting and Wall Covering Contractors","all"
"23833","Flooring Contractors","all"
"238330","Flooring Contractors","all"
"23834","Tile and Terrazzo Contractors","all"
"238340","Tile and Terrazzo Contractors","all"
"23835","Finish Carpentry Contractors","all"
"238350","Finish Carpentry Contractors","all"
"23839","Other Building Finishing Contractors","all"
"238390","Other Building Finishing Contractors","all"
"2389","Other Specialty Trade Contractors","all"
"23891","Site Preparation Contractors","all"
"238910","Site Preparation Contractors","all"
"23899","All Other Specialty Trade Contractors","all"
"238990","All Other Specialty Trade Contractors","all"
"31-33","Manufacturing","all"
"311","Food Manufacturing","all"
"3111","Animal Food Manufacturing","all"
"31111","Animal Food Manufacturing","all"
"311111","Dog and Cat Food Manufacturing","all"
"311119","Other Animal Food Manufacturing","all"
"3112","Grain and Oilseed Milling","all"
"31121","Flour Milling and Malt Manufacturing","all"
"311211","Flour Milling","all"
"311212","Rice Milling","US"
"311213","Malt Manufacturing","US"
"311214","Rice Milling and Malt Manufacturing","CAN"
"31122","Starch and Vegetable Fat and Oil Manufacturing","all"
"311221","Wet Corn Milling","all"
"311222","Soybean Processing","US"
"311223","Other Oilseed Processing","US"
"311224","Oilseed Processing","CAN"
"311225","Fat and Oil Refining and Blending","all"
"31123","Breakfast Cereal Manufacturing","all"
"311230","Breakfast Cereal Manufacturing","all"
"3113","Sugar and Confectionery Product Manufacturing","all"
"31131","Sugar Manufacturing","all"
"311310","Sugar Manufacturing","CAN"
"311311","Sugarcane Mills","US"
"311312","Cane Sugar Refining","US"
"311313","Beet Sugar Manufacturing","US"
"31132","Chocolate and Confectionery Manufacturing from Cacao Beans","all"
"311320","Chocolate and Confectionery Manufacturing from Cacao Beans","all"
"31133","Confectionery Manufacturing from Purchased Chocolate","all"
"311330","Confectionery Manufacturing from Purchased Chocolate","all"
"31134","Non-Chocolate Confectionery Manufacturing","all"
"311340","Non-Chocolate Confectionery Manufacturing","all"
"3114","Fruit and Vegetable Preserving and Specialty Food Manufacturing","all"
"31141","Frozen Food Manufacturing","all"
"311410","Frozen Food Manufacturing","CAN"
"311411","Frozen Fruit, Juice, and Vegetable Manufacturing","US"
"311412","Frozen Specialty Food Manufacturing","US"
"31142","Fruit and Vegetable Canning, Pickling and Drying","all"
"311420","Fruit and Vegetable Canning, Pickling and Drying","CAN"
"311421","Fruit and Vegetable Canning","US"
"311422","Specialty Canning","US"
"311423","Dried and Dehydrated Food Manufacturing","US"
"3115","Dairy Product Manufacturing","all"
"31151","Dairy Product (except Frozen) Manufacturing","all"
"311511","Fluid Milk Manufacturing","all"
"311512","Creamery Butter Manufacturing","US"
"311513","Cheese Manufacturing","US"
"311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","US"
"311515","Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing","CAN"
"31152","Ice Cream and Frozen Dessert Manufacturing","all"
"311520","Ice Cream and Frozen Dessert Manufacturing","all"
"3116","Meat Product Manufacturing","all"
"31161","Animal Slaughtering and Processing","all"
"311611","Animal (except Poultry) Slaughtering","all"
"311612","Meat Processed from Carcasses","US"
"311613","Rendering and Meat Byproduct Processing","US"
"311614","Rendering and Meat Processing from Carcasses","CAN"
"311615","Poultry Processing","all"
"3117","Seafood Product Preparation and Packaging","all"
"31171","Seafood Product Preparation and Packaging","all"
"311710","Seafood Product Preparation and Packaging","CAN"
"311711","Seafood Canning","US"
"311712","Fresh and Frozen Seafood Processing","US"
"3118","Bakeries and Tortilla Manufacturing","all"
"31181","Bread and Bakery Product Manufacturing","all"
"311811","Retail Bakeries","all"
"311812","Commercial Bakeries","US"
"311813","Frozen Cakes, Pies, and Other Pastries Manufacturing","US"
"311814","Commercial Bakeries and Frozen Bakery Product Manufacturing","CAN"
"31182","Cookie, Cracker and Pasta Manufacturing","all"
"311821","Cookie and Cracker Manufacturing","all"
"311822","Flour Mixes and Dough Manufacturing from Purchased Flour","all"
"311823","Dry Pasta Manufacturing","all"
"31183","Tortilla Manufacturing","all"
"311830","Tortilla Manufacturing","all"
"3119","Other Food Manufacturing","all"
"31191","Snack Food Manufacturing","all"
"311911","Roasted Nut and Peanut Butter Manufacturing","all"
"311919","Other Snack Food Manufacturing","all"
"31192","Coffee and Tea Manufacturing","all"
"311920","Coffee and Tea Manufacturing","all"
"31193","Flavouring Syrup and Concentrate Manufacturing","all"
"311930","Flavouring Syrup and Concentrate Manufacturing","all"
"31194","Seasoning and Dressing Manufacturing","all"
"311940","Seasoning and Dressing Manufacturing","CAN"
"311941","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","US"
"311942","Spice and Extract Manufacturing","US"
"31199","All Other Food Manufacturing","all"
"311990","All Other Food Manufacturing","CAN"
"311991","Perishable Prepared Food Manufacturing","US"
"311999","All Other Miscellaneous Food Manufacturing","US"
"312","Beverage and Tobacco Product Manufacturing","all"
"3121","Beverage Manufacturing","all"
"31211","Soft Drink and Ice Manufacturing","all"
"312110","Soft Drink and Ice Manufacturing","CAN"
"312111","Soft Drink Manufacturing","US"
"312112","Bottled Water Manufacturing","US"
"312113","Ice Manufacturing","US"
"31212","Breweries","all"
"312120","Breweries","all"
"31213","Wineries","all"
"312130","Wineries","all"
"31214","Distilleries","all"
"312140","Distilleries","all"
"3122","Tobacco Manufacturing","all"
"31221","Tobacco Stemming and Redrying","all"
"312210","Tobacco Stemming and Redrying","all"
"31222","Tobacco Product Manufacturing","all"
"312220","Tobacco Product Manufacturing","CAN"
"312221","Cigarette Manufacturing","US"
"312229","Other Tobacco Product Manufacturing","US"
"313","Textile Mills","all"
"3131","Fibre, Yarn and Thread Mills","all"
"31311","Fibre, Yarn and Thread Mills","all"
"313110","Fibre, Yarn and Thread Mills","CAN"
"313111","Yarn Spinning Mills","US"
"313112","Yarn Texturizing, Throwing, and Twisting Mills","US"
"313113","Thread Mills","US"
"3132","Fabric Mills","all"
"31321","Broad-Woven Fabric Mills","all"
"313210","Broad-Woven Fabric Mills","all"
"31322","Narrow Fabric Mills and Schiffli Machine Embroidery","all"
"313220","Narrow Fabric Mills and Schiffli Machine Embroidery","CAN"
"313221","Narrow Fabric Mills","US"
"313222","Schiffli Machine Embroidery","US"
"31323","Nonwoven Fabric Mills","all"
"313230","Nonwoven Fabric Mills","all"
"31324","Knit Fabric Mills","all"
"313240","Knit Fabric Mills","CAN"
"313241","Weft Knit Fabric Mills","US"
"313249","Other Knit Fabric and Lace Mills","US"
"3133","Textile and Fabric Finishing and Fabric Coating","all"
"31331","Textile and Fabric Finishing","all"
"313310","Textile and Fabric Finishing","CAN"
"313311","Broadwoven Fabric Finishing Mills","US"
"313312","Textile and Fabric Finishing (except Broadwoven Fabric) Mills","US"
"31332","Fabric Coating","all"
"313320","Fabric Coating","all"
"314","Textile Product Mills","all"
"3141","Textile Furnishings Mills","all"
"31411","Carpet and Rug Mills","all"
"314110","Carpet and Rug Mills","all"
"31412","Curtain and Linen Mills","all"
"314120","Curtain and Linen Mills","CAN"
"314121","Curtain and Drapery Mills","US"
"314129","Other Household Textile Product Mills","US"
"3149","Other Textile Product Mills","all"
"31491","Textile Bag and Canvas Mills","all"
"314910","Textile Bag and Canvas Mills","CAN"
"314911","Textile Bag Mills","US"
"314912","Canvas and Related Product Mills","US"
"31499","All Other Textile Product Mills","all"
"314990","All Other Textile Product Mills","CAN"
"314991","Rope, Cordage, and Twine Mills","US"
"314992","Tire Cord and Tire Fabric Mills","US"
"314999","All Other Miscellaneous Textile Product Mills","US"
"315","Clothing Manufacturing","all"
"3151","Clothing Knitting Mills","all"
"31511","Hosiery and Sock Mills","all"
"315110","Hosiery and Sock Mills","CAN"
"315111","Sheer Hosiery Mills","US"
"315119","Other Hosiery and Sock Mills","US"
"31519","Other Clothing Knitting Mills","all"
"315190","Other Clothing Knitting Mills","CAN"
"315191","Outerwear Knitting Mills","US"
"315192","Underwear and Nightwear Knitting Mills","US"
"3152","Cut and Sew Clothing Manufacturing","all"
"31521","Cut and Sew Clothing Contracting","all"
"315210","Cut and Sew Clothing Contracting","CAN"
"315211","Men's and Boys' Cut and Sew Apparel Contractors","US"
"315212","Women's, Girls', and Infants' Cut and Sew Apparel Contractors","US"
"31522","Men's and Boys' Cut and Sew Clothing Manufacturing","all"
"315221","Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing","all"
"315222","Men's and Boys' Cut and Sew Suit, Coat and Overcoat Manufacturing","all"
"315223","Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing","US"
"315224","Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing","US"
"315225","Men's and Boys' Cut and Sew Work Clothing Manufacturing","US"
"315226","Men's and Boys' Cut and Sew Shirt Manufacturing","CAN"
"315227","Men's and Boys' Cut and Sew Trouser, Slack and Jean Manufacturing","CAN"
"315228","Men's and Boys' Cut and Sew Other Outerwear Manufacturing","US"
"315229","Other Men's and Boys' Cut and Sew Clothing Manufacturing","CAN"
"31523","Women's and Girls' Cut and Sew Clothing Manufacturing","all"
"315231","Women's and Girls' Cut and Sew Lingerie, Loungewear and Nightwear Manufacturing","all"
"315232","Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing","all"
"315233","Women's and Girls' Cut and Sew Dress Manufacturing","all"
"315234","Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket and Skirt Manufacturing","all"
"315239","Other Women's and Girls' Cut and Sew Clothing Manufacturing","all"
"31529","Other Cut and Sew Clothing Manufacturing","all"
"315291","Infants' Cut and Sew Clothing Manufacturing","all"
"315292","Fur and Leather Clothing Manufacturing","all"
"315299","All Other Cut and Sew Clothing Manufacturing","all"
"3159","Clothing Accessories and Other Clothing Manufacturing","all"
"31599","Clothing Accessories and Other Clothing Manufacturing","all"
"315990","Clothing Accessories and Other Clothing Manufacturing","CAN"
"315991","Hat, Cap, and Millinery Manufacturing","US"
"315992","Glove and Mitten Manufacturing","US"
"315993","Men's and Boys' Neckwear Manufacturing","US"
"315999","Other Apparel Accessories and Other Apparel Manufacturing","US"
"316","Leather and Allied Product Manufacturing","all"
"3161","Leather and Hide Tanning and Finishing","all"
"31611","Leather and Hide Tanning and Finishing","all"
"316110","Leather and Hide Tanning and Finishing","all"
"3162","Footwear Manufacturing","all"
"31621","Footwear Manufacturing","all"
"316210","Footwear Manufacturing","CAN"
"316211","Rubber and Plastics Footwear Manufacturing","US"
"316212","House Slipper Manufacturing","US"
"316213","Men's Footwear (except Athletic) Manufacturing","US"
"316214","Women's Footwear (except Athletic) Manufacturing","US"
"316219","Other Footwear Manufacturing","US"
"3169","Other Leather and Allied Product Manufacturing","all"
"31699","Other Leather and Allied Product Manufacturing","all"
"316990","Other Leather and Allied Product Manufacturing","CAN"
"316991","Luggage Manufacturing","US"
"316992","Women's Handbag and Purse Manufacturing","US"
"316993","Personal Leather Good (except Women's Handbag and Purse) Manufacturing","US"
"316999","All Other Leather Good Manufacturing","US"
"321","Wood Product Manufacturing","all"
"3211","Sawmills and Wood Preservation","all"
"32111","Sawmills and Wood Preservation","all"
"321111","Sawmills (except Shingle and Shake Mills)","CAN"
"321112","Shingle and Shake Mills","CAN"
"321113","Sawmills","US"
"321114","Wood Preservation","all"
"3212","Veneer, Plywood and Engineered Wood Product Manufacturing","all"
"32121","Veneer, Plywood and Engineered Wood Product Manufacturing","all"
"321211","Hardwood Veneer and Plywood Mills","all"
"321212","Softwood Veneer and Plywood Mills","all"
"321213","Engineered Wood Member (except Truss) Manufacturing","US"
"321214","Truss Manufacturing","US"
"321215","Structural Wood Product Manufacturing","CAN"
"321216","Particle Board and Fibreboard Mills","CAN"
"321217","Waferboard Mills","CAN"
"321219","Reconstituted Wood Product Manufacturing","US"
"3219","Other Wood Product Manufacturing","all"
"32191","Millwork","all"
"321911","Wood Window and Door Manufacturing","all"
"321912","Cut Stock, Resawing Lumber, and Planing","US"
"321918","Other Millwork (including Flooring)","US"
"321919","Other Millwork","CAN"
"32192","Wood Container and Pallet Manufacturing","all"
"321920","Wood Container and Pallet Manufacturing","all"
"32199","All Other Wood Product Manufacturing","all"
"321991","Manufactured (Mobile) Home Manufacturing","all"
"321992","Prefabricated Wood Building Manufacturing","all"
"321999","All Other Miscellaneous Wood Product Manufacturing","all"
"322","Paper Manufacturing","all"
"3221","Pulp, Paper and Paperboard Mills","all"
"32211","Pulp Mills","all"
"322110","Pulp Mills","US"
"322111","Mechanical Pulp Mills","CAN"
"322112","Chemical Pulp Mills","CAN"
"32212","Paper Mills","all"
"322121","Paper (except Newsprint) Mills","all"
"322122","Newsprint Mills","all"
"32213","Paperboard Mills","all"
"322130","Paperboard Mills","all"
"3222","Converted Paper Product Manufacturing","all"
"32221","Paperboard Container Manufacturing","all"
"322211","Corrugated and Solid Fibre Box Manufacturing","all"
"322212","Folding Paperboard Box Manufacturing","all"
"322213","Setup Paperboard Box Manufacturing","US"
"322214","Fiber Can, Tube, Drum, and Similar Products Manufacturing","US"
"322215","Nonfolding Sanitary Food Container Manufacturing","US"
"322219","Other Paperboard Container Manufacturing","CAN"
"32222","Paper Bag and Coated and Treated Paper Manufacturing","all"
"322220","Paper Bag and Coated and Treated Paper Manufacturing","CAN"
"322221","Coated and Laminated Packaging Paper and Plastics Film Manufacturing","US"
"322222","Coated and Laminated Paper Manufacturing","US"
"322223","Plastics, Foil, and Coated Paper Bag Manufacturing","US"
"322224","Uncoated Paper and Multiwall Bag Manufacturing","US"
"322225","Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses","US"
"322226","Surface-Coated Paperboard Manufacturing","US"
"32223","Stationery Product Manufacturing","all"
"322230","Stationery Product Manufacturing","CAN"
"322231","Die-Cut Paper and Paperboard Office Supplies Manufacturing","US"
"322232","Envelope Manufacturing","US"
"322233","Stationery, Tablet, and Related Product Manufacturing","US"
"32229","Other Converted Paper Product Manufacturing","all"
"322291","Sanitary Paper Product Manufacturing","all"
"322299","All Other Converted Paper Product Manufacturing","all"
"323","Printing and Related Support Activities","all"
"3231","Printing and Related Support Activities","all"
"32311","Printing","all"
"323110","Commercial Lithographic Printing","US"
"323111","Commercial Gravure Printing","US"
"323112","Commercial Flexographic Printing","US"
"323113","Commercial Screen Printing","all"
"323114","Quick Printing","all"
"323115","Digital Printing","all"
"323116","Manifold Business Forms Printing","all"
"323117","Books Printing","US"
"323118","Blankbook, Looseleaf Binders, and Devices Manufacturing","US"
"323119","Other Printing","CAN"
"323119","Other Commercial Printing","US"
"32312","Support Activities for Printing","all"
"323120","Support Activities for Printing","CAN"
"323121","Tradebinding and Related Work","US"
"323122","Prepress Services","US"
"324","Petroleum and Coal Products Manufacturing","all"
"3241","Petroleum and Coal Products Manufacturing","all"
"32411","Petroleum Refineries","all"
"324110","Petroleum Refineries","all"
"32412","Asphalt Paving, Roofing and Saturated Materials Manufacturing","all"
"324121","Asphalt Paving Mixture and Block Manufacturing","all"
"324122","Asphalt Shingle and Coating Material Manufacturing","all"
"32419","Other Petroleum and Coal Products Manufacturing","all"
"324190","Other Petroleum and Coal Products Manufacturing","CAN"
"324191","Petroleum Lubricating Oil and Grease Manufacturing","US"
"324199","All Other Petroleum and Coal Products Manufacturing","US"
"325","Chemical Manufacturing","all"
"3251","Basic Chemical Manufacturing","all"
"32511","Petrochemical Manufacturing","all"
"325110","Petrochemical Manufacturing","all"
"32512","Industrial Gas Manufacturing","all"
"325120","Industrial Gas Manufacturing","all"
"32513","Synthetic Dye and Pigment Manufacturing","all"
"325130","Synthetic Dye and Pigment Manufacturing","CAN"
"325131","Inorganic Dye and Pigment Manufacturing","US"
